Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Andhra Pradesh,Kurnool,Acute Diarrheal Disease,31,00,22-06-2023,28-06-2023
Arunachal Pradesh,West Siang,Suspected Mushroom Poisoning,16,00,26-06-2023,27-06-2023
Assam,Darrang,Leptospirosis,08,01,27-06-2023,30-06-2023
Assam,Kokrajhar,Measles,08,00,25-06-2023,27-06-2023
Assam,Udalguri,Human Rabies,01,01,29-06-2023,29-06-2023
Bihar,Begusarai,Fever with Rash,10,00,28-06-2023,30-06-2023
Bihar,Gopalganj,Chickenpox,08,00,28-06-2023,30-06-2023
Bihar,Purbi Champaran,Fever with Rash,16,00,27-06-2023,27-06-2023
Bihar,Rohtas,Fever with Rash,08,00,26-06-2023,26-06-2023
Bihar,Vaishali,Fever with Rash,11,00,28-06-2023,30-06-2023
Chhattisgarh,Balod,Acute diarrheal Disease,65,00,01-07-2023,02-07-2023
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,47,00,28-06-2023,28-06-2023
Chhattisgarh,Bastar,Acute Diarrheal Disease,75,00,01-07-2023,02-07-2023
Chhattisgarh,Bijapur,Acute Diarrheal Disease,74,00,22-06-2023,26-06-2023
Gujarat,Anand,Acute Diarrheal Disease,07,00,25-06-2023,26-06-2023
Gujarat,Dohad,Acute Diarrheal Diseases,39,00,26-06-2023,26-06-2023
Gujarat,Gir Somnath,Acute Diarrheal Disease,73,00,24-06-2023,27-06-2023
Gujarat,Junagadh,Acute Diarrheal Diseases,45,00,30-06-2023,30-06-2023
Gujarat,Patan,Hepatitis A,10,00,23-06-2023,26-06-2023
Haryana,Sonipat,Acute Diarrheal Disease,37,00,28-06-2023,28-06-2023
Jammu and Kashmir,Kupwara,Measles,10,00,01-07-2023,01-07-2023
Jharkhand,Deoghar,Acute Diarrheal Disease,11,00,24-06-2023,26-06-2023
Jharkhand,Khunti,Chickenpox,06,00,01-07-2023,01-07-2023
Jharkhand,West Singhbhum,Malaria,85,00,02-07-2023,02-07-2023
Karnataka,Ballari,Acute Diarrheal Disease,43,00,28-06-2023,29-06-2023
Karnataka,Davangere,Acute Diarrheal Disease,88,00,28-06-2023,28-06-2023
Karnataka,Kalaburagi,Mumps,28,0,01-07-2023,01-07-2023
Karnataka,Koppal,Acute Diarrheal Disease,34,0,26-06-2023,26-06-2023
Karnataka,Raichur,Acute Diarrheal Disease,88,0,01-07-2023,02-07-2023
Karnataka,Udupi,Acute Diarrheal Disease,11,0,23-06-2023,27-06-2023
Karnataka,Vijayanagar,Acute Diarrheal Disease,54,0,01-07-2023,01-07-2023
Karnataka,Yadgir,Acute Diarrheal Disease,55,0,27-06-2023,30-06-2023
Karnataka,BBMP,Acute Diarrheal Disease,65,00,20-06-23,28-06-23
Kerala,Alappuzha,Food Poisoning,20,00,20-06-23,27-06-2023
Kerala,Alappuzha,West Nile Fever,0,1,20-06-2023,27-06-2023
Kerala,Malappuram,Monkey pox,01,00,22-06-23,26-06-2023
Kerala,Pathanamthitta,Dengue,27,00,24-06-23,24-06-23
Kerala,Pathanamthitta,Dengue,18,01,25-06-23,25-06-23
Kerala,Thiruvananthapuram,Zika Virus Disease,01,0,23-06-2023,30-06-2023
Kerala,Wayanad,Acute Diarrheal Disease,32,0,24-06-2023,28-06-2023
Madhya Pradesh,Bhind,Chickenpox,06,00,27-06-2023,27-06-2023
Madhya Pradesh,Datia,Chickenpox,08,0,26-06-2023,26-06-2023
Maharashtra,Chandrapur,Malaria,42,0,26-06-2023,27-06-2023
Arunachal Pradesh,West Siang,Chickenpox,01,00,29-06-2023,04-07-2023
Arunachal Pradesh,West Siang,Chickenpox,03,00,29-06-2023,05-07-2023
Assam,Bongaigaon,Dog Bite,03,00,27-06-2023,03-07-2023
Assam,Biswanath,Chickenpox,16,00,28-06-2023,04-07-2023
Assam,Dhemaji,Acute Diarrheal Disease,19,00,28-06-2023,04-07-2023
Assam,Dhemaji,Acute Diarrheal Disease,21,00,29-06-2023,05-07-2023
Assam,Dibrugarh,Acute Diarrheal Disease,14,00,24-06-2023,03-07-2023
Assam,Darrang,Acute Diarrheal Disease,14,00,01-07-2023,04-07-2023
Bihar,Begusarai,Fever with Rash,14,00,02-07-2023,04-07-2023
Bihar,Khagaria,Food Poisoning,26,00,02-07-2023,04-07-2023
Chhattisgarh,Balod,Acute Diarrheal Disease,49,00,03-07-2023,04-07-2023
Chhattisgarh,Rajnandgaon,Dengue,09,00,03-07-2023,05-07-2023
Gujarat,Arvalli,Acute Diarrheal Disease,14,00,29-06-2023,03-07-2023
Gujarat,Banaskantha,Acute Diarrheal Disease,11,00,26-06-2023,03-07-2023
Gujarat,Banaskantha,Acute Diarrheal Disease,19,00,29-06-2023,05-07-2023
Gujarat,Gurugram,Acute Diarrheal Disease,19,00,03-07-2023,05-07-2023
Gujarat,Jamnagar,Acute Diarrheal Disease,12,00,02-07-2023,05-07-2023
Gujarat,Kachchh,CCHF,02,00,28-06-2023,03-07-2023
Gujarat,Morbi,Acute Diarrheal Disease,11,00,01-07-2023,04-07-2023
Gujarat,Panchmahals,Hepatitis A,14,00,02-07-2023,04-07-2023
Haryana,Nuh,Chickenpox,09,00,29-06-2023,03-07-2023
Jammu and Kashmir,Bandipora,Hepatitis A,09,00,03-07-2023,05-07-2023
Jammu and Kashmir,Kupwara,Chickenpox,13,00,29-06-2023,03-07-2023
Maharashtra,Akola,Dengue,06,00,27-06-2023,03-07-2023
Maharashtra,Amravati,Malaria,07,00,29-06-2023,03-07-2023
Maharashtra,Kolhapur,Dengue,14,00,03-07-2023,05-07-2023
Maharashtra,Latur,Chikungunya,09,00,27-06-2023,03-07-2023
Maharashtra,Nanded,Acute Diarrheal Disease,09,00,27-06-2023,03-07-2023
Maharashtra,Satara,Chikungunya,08,00,01-07-2023,04-07-2023
Maharashtra,Satara,Dengue,07,00,02-07-2023,05-07-2023
Maharashtra,Sindhudurg,Dengue,12,00,01-07-2023,04-07-2023
Madhya Pradesh,Umaria,Chickenpox,07,00,28-06-2023,03-07-2023
Madhya Pradesh,Rewa,Acute Diarrheal Disease,12,00,02-07-2023,04-07-2023
Uttarakhand,Nainital,Acute Diarrheal Disease,19,00,02-07-2023,05-07-2023
Uttar Pradesh,Amethi,Chickenpox,12,00,13-06-2023,03-07-2023
West Bengal,Balasore,Acute Diarrheal Disease,17,00,01-07-2023,04-07-2023
West Bengal,East Singhbhum,Chickenpox,07,00,01-07-2023,03-07-2023
West Bengal,East Singhbhum,Dengue,11,00,02-07-2023,05-07-2023
West Khasi Hills,Scrub Typhus,09,00,28-06-2023,04-07-2023
Wanaparthy,Acute Diarrheal Disease,18,00,01-07-2023,03-07-2023
Assam,Bajali,Fever of Unknown Origin,14,00,08-07-2023,12-07-2023
Assam,Darrang,Acute Diarrheal Disease,12,00,08-07-2023,11-07-2023
Assam,Dhemaji,Acute Diarrheal Disease,16,00,09-07-2023,12-07-2023
Assam,Karbi Anglong,Measles,10,00,08-07-2023,11-07-2023
Assam,Sivasagar,Acute Diarrheal Disease,11,00,09-07-2023,12-07-2023
Assam,Upper Siang,Scrub Typhus,05,00,05-07-2023,11-07-2023
Bihar,Bhojpur,Fever with Rash,12,00,12-07-2023,14-07-2023
Bihar,Jamtara,Chickenpox,09,00,08-07-2023,10-07-2023
Bihar,Patna,Malaria,08,00,06-07-2023,11-07-2023
Chhattisgarh,Saraikela Kharsawan,Acute Diarrheal Disease,13,00,08-07-2023,10-07-2023
Delhi,Ghaziabad,Acute Diarrheal Disease,14,00,10-07-2023,12-07-2023
Gujarat,Agar Malwa,Acute Diarrheal Disease,12,00,08-07-2023,11-07-2023
Gujarat,Burhanpur,Acute Diarrheal Disease,14,00,09-07-2023,12-07-2023
Gujarat,Gurugram,Acute Diarrheal Disease,13,00,11-07-2023,13-07-2023
Gujarat,Mahesana,Acute Diarrheal Disease,11,00,11-07-2023,13-07-2023
Gujarat,Navsari,Acute Diarrheal Disease,10,00,11-07-2023,13-07-2023
Jammu and Kashmir,Srinagar,Chickenpox,11,00,08-07-2023,11-07-2023
Jammu and Kashmir,Srinagar,Mumps,12,00,09-07-2023,12-07-2023
Karnataka,Ballari,Cholera,15,00,09-07-2023,12-07-2023
Karnataka,Chitradurga,Acute Diarrheal Disease,13,00,10-07-2023,12-07-2023
Karnataka,Kalaburagi,Acute Diarrheal Disease,18,00,11-07-2023,13-07-2023
Karnataka,Koppal,Chikungunya,11,00,09-07-2023,12-07-2023
Karnataka,Raichur,Acute Diarrheal Disease,12,00,10-07-2023,12-07-2023
Kerala,Thrissur,West Nile Fever,01,01,04-07-2023,10-07-2023
Madhya Pradesh,Narsinghpur,Acute Diarrheal Disease,19,00,08-07-2023,11-07-2023
Maharashtra,Jalna,Dengue,14,00,08-07-2023,11-07-2023
Maharashtra,Palghar,Dengue,11,00,09-07-2023,12-07-2023
Maharashtra,Sindhudurg,Acute Diarrheal Disease,13,00,10-07-2023,12-07-2023
Uttar Pradesh,Fatehpur,Acute Diarrheal Disease,10,00,09-07-2023,12-07-2023
Uttar Pradesh,Lucknow,Fever with Rash,12,00,10-07-2023,12-07-2023
West Bengal,East Singhbhum,Chickenpox,08,00,06-07-2023,11-07-2023
West Bengal,Murshidabad,Anthrax,02,00,04-05-2023,13-07-2023
West Bengal,Murshidabad,Food Poisoning,25,00,11-07-2023,13-07-2023
West Bengal,Purulia,Acute Diarrheal Disease,13,00,11-07-2023,13-07-2023
Yavatmal,Acute Diarrheal Disease,11,00,09-07-2023,12-07-2023
Andhra Pradesh,Nellore,Acute Diarrheal Disease,27,00,12-07-23,16-07-23
Arunachal Pradesh,Tawang,Chickenpox,40,00,21-07-23,22-07-23
Assam,Cachar,Acute Diarrheal Disease,11,00,21-07-23,21-07-23
Assam,Dhemaji,Animal Bite-Snake Bite,03,01,16-07-23,17-07-23
Assam,Dibrugarh,Chickenpox,09,00,18-07-23,18-07-23
Assam,Dibrugarh,Acute Diarrheal Disease,22,00,20-07-23,21-07-23
Assam,Kamrup,Acute Diarrheal Disease,64,00,13-07-23,17-07-23
Assam,Kamrup,Animal Bite - Dog Bite,01,01,14-07-23,17-07-23
Assam,Kamrup,Leptospirosis,15,00,13-07-23,17-07-23
Assam,Kokrajhar,Malaria,115,00,20-07-23,21-07-23
Assam,Marigaon,Japanese Encephalitis,05,00,19-07-23,22-07-23
Assam,Nagaon,Acute Encephalitic Syndrome,04,01,17-07-23,21-07-23
Assam,Sivasagar,Japanese Encephalitis,06,00,20-07-23,21-07-23
Bihar,Patna,Acute Diarrheal Disease,35,01,17-07-23,17-07-23
Gujarat,Anand,Jaundice,20,00,21-07-23,21-07-23
Haryana,Nuh,Chickenpox,22,00,15-07-23,24-07-23
Jammu and Kashmir,Jammu,Chickenpox,10,00,15-07-23,22-07-23
Jammu and Kashmir,Shopian,Mumps,13,00,20-07-23,20-07-23
Jharkhand,Jamtara,Chickenpox,06,00,17-07-23,20-07-23
Jharkhand,Khunti,Fever with Rash,11,00,19-07-23,20-07-23
Jharkhand,Lohardaga,Chickenpox,05,00,18-07-23,18-07-23
Jharkhand,Palamu,Chickenpox,06,00,21-07-23,21-07-23
Jharkhand,West Singhbhum,Chickenpox,05,00,22-07-23,22-07-23
Karnataka,Chamarajanagar,Others,25,00,16-07-23,18-07-23
Karnataka,Haveri,Acute Diarrheal Disease,17,00,18-07-23,19-07-23
Karnataka,Kalaburagi,Leptospirosis,02,00,19-07-23,20-07-23
Karnataka,Tumkur,Acute Diarrheal Disease,33,00,16-07-23,17-07-23
Karnataka,Vijayanagar,Cholera,57,00,20-07-23,21-07-23
Kerala,Ernakulam,Food Poisoning,20,00,22-07-23,25-07-23
Madhya Pradesh,Guna,Cholera,10,00,19-07-23,20-07-23
Madhya Pradesh,Narsinghpur,Malaria,08,00,20-07-23,20-07-23
Madhya Pradesh,Rewa,Food Poisoning,19,00,19-07-23,20-07-23
Madhya Pradesh,Ujjain,Acute Diarrheal Disease,23,00,15-07-23,18-07-23
Maharashtra,Gadchiroli,Dengue,44,00,19-07-23,19-07-23
Maharashtra,Osmanabad,Dengue,07,00,22-07-23,22-07-23
Maharashtra,Thane,Fever,12,00,12-07-23,18-07-23
Tamil Nadu,Coimbatore,Chickenpox,14,00,14-07-23,15-07-23
Tamil Nadu,Salem,Fever,38,00,19-07-23,21-07-23
Tamil Nadu,Thanjavur,Hepatitis A,18,00,18-07-23,18-07-23
Tamil Nadu,Tiruchirappalli,Hepatitis A,29,00,17-07-23,31-07-23
Uttar Pradesh,Bhadohi,Acute Diarrheal Disease,21,00,20-07-23,21-07-23
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,37,00,18-07-23,20-07-23
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,54,01,19-07-23,20-07-23
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,10,00,16-07-23,18-07-23
Uttar Pradesh,Siddharth Nagar,Acute Diarrheal Disease,24,00,18-07-23,18-07-23
Bihar,Katihar,Fever with Rash,07,00,03-07-23,
Kerala,Malappuram,Dengue,40,00,15-06-23,
Kerala,Kottayam,Hepatitis A,07,00,07-07-23,
Karnataka,Bengaluru Urban,Acute Diarrheal Disease,08,00,25-06-23,
Sikkim,West District,Typhoid,53,00,05-07-23,
Tamil Nadu,Tiruppur,Dengue,27,00,25-06-23,
Assam,Charaldeo,Acute Diarrheal Disease,31,01,09-01-2023,09-01-2023  
Chhattisgarh,Balod,Chickenpox,89,00,09-01-2023,10-01-2023  
Chhattisgarh,Janjgir-Champa,Chickenpox,48,00,12-01-2023,13-01-2023  
Chhattisgarh,Sakti,Chickenpox,52,00,10-01-2023,11-01-2023 
Kerala,Ernakulam,Food Poisoning,11,00,07-01-23,08-01-23  
Kerala,Kozhikode,Acute Diarrheal Disease,326,00,13-01-23,16-01-23  
Kerala,Kannur,Food Poisoning,128,00,08-01-23,11-01-23  
Kerala,Kottayam,Food Poisoning,60,00,08-01-23,11-01-23  
Kerala,Malappuram,Food Poisoning,54,00,03-01-23,11-01-23  
Kerala,Malappuram,Monkey Pox,01,00,06-01-23,06-01-23  
Maharashtra,Nanded,Measles,13,00,13-01-2023,13-01-2023    
Kerala,Kozhikode,Measles,64,00,01-01-23,  
Maharashtra,Pune,Measles & Rubella,08,00,08-12-2022,  
Uttar Pradesh,Kaushambi,Measles,05,00,05-12-22,  
West Bengal,Purba Bardhaman,Measles,05,00,18-12-2022,  
Andaman and Nicobar Islands,South Andaman,Dengue,11,00,23-07-24,23-07-24
Assam,Baksa,Japanese Encephalitis,02,01,23-07-24,25-07-24
Assam,Biswanath,Japanese Encephalitis,02,00,22-07-24,23-07-24
Assam,Bongaigaon,Japanese Encephalitis,03,00,24-07-24,24-07-24
Assam,Cachar,Malaria,16,00,25-07-24,26-07-24
Assam,Chirang,Japanese Encephalitis,04,00,24-07-24,25-07-24
Assam,Darrang,Japanese Encephalitis,05,00,24-07-24,24-07-24
Assam,Darrang,Japanese Encephalitis,05,00,25-07-24,26-07-24
Assam,Dhemaji,Japanese Encephalitis,03,01,22-07-24,24-07-24
Assam,Dibrugarh,Malaria,06,00,23-07-24,24-07-24
Assam,Dibrugarh,Japanese Encephalitis,02,00,23-07-24,24-07-24
Assam,Dibrugarh,Chickenpox,10,00,23-07-24,23-07-24
Assam,Goalpara,Japanese Encephalitis,06,00,25-07-24,25-07-24
Assam,Goalpara,Japanese Encephalitis,03,01,25-07-24,25-07-24
Assam,Golaghat,Japanese Encephalitis,04,00,23-07-24,23-07-24
Assam,Jorhat,Japanese Encephalitis,04,00,25-07-24,25-07-24
Assam,Kamrup Metropolitan,Japanese Encephalitis,03,00,23-07-24,23-07-24
Assam,Karbi Anglong,Japanese Encephalitis,04,01,23-07-24,23-07-24
Assam,Kokrajhar,Leptospirosis,05,00,22-07-24,22-07-24
Assam,Kokrajhar,Japanese Encephalitis,03,00,23-07-24,23-07-24
Assam,Lakhimpur,Japanese Encephalitis,03,00,23-07-24,23-07-24
Assam,Majuli,Japanese Encephalitis,03,00,25-07-24,25-07-24
Assam,Marigaon,Japanese Encephalitis,03,00,25-07-24,26-07-24
Assam,Nagaon,Japanese Encephalitis,06,00,23-07-24,23-07-24
Assam,Nalbari,Japanese Encephalitis,02,00,23-07-24,23-07-24
Assam,Sivasagar,Japanese Encephalitis,05,00,23-07-24,23-07-24
Assam,Sonitpur,Japanese Encephalitis,07,01,23-07-24,24-07-24
Assam,South Salmara Mankachar,Food Poisoning,29,00,23-07-24,23-07-24
Assam,Tinsukia,Malaria,18,00,24-07-24,25-07-24
Assam,Udalguri,Japanese Encephalitis,03,01,23-07-24,23-07-24
Bihar,Bhojpur,Measles,11,00,26-07-24,26-07-24
Bihar,Gaya,Acute Diarrheal Disease,14,00,23-07-24,23-07-24
Bihar,Jehanabad,Acute Diarrheal Disease,13,00,24-07-24,24-07-24
Chandigarh,Chandigarh,Dengue,12,00,25-07-24,25-07-24
Chhattisgarh,Kondagaon,Acute Diarrheal Disease,13,00,23-07-24,23-07-24
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,22,00,22-07-24,22-07-24
Dadra and Nagar Haveli and Daman and Diu,Daman,Acute Diarrheal Disease,10,00,25-07-24,25-07-24
Delhi,East,Dengue,05,00,27-07-24,27-07-24
Delhi,New Delhi,Dengue,05,00,27-07-24,27-07-24
Delhi,South,Dengue,08,00,26-07-24,26-07-24
Delhi,South West,Dengue,07,00,26-07-24,26-07-24
Gujarat,Ahmedabad,Acute Diarrheal Disease,14,00,22-07-24,22-07-24
Gujarat,Ahmedabad Corporation,Dengue,06,00,27-07-24,27-07-24
Gujarat,Amreli,Acute Diarrheal Disease,14,00,22-07-24,22-07-24
Gujarat,Arvalli,Acute Diarrheal Disease,15,00,23-07-24,23-07-24
Gujarat,Bharuch,Acute Diarrheal Disease,12,00,25-07-24,25-07-24
Gujarat,Bhavnagar Corporation,Dengue,08,00,26-07-24,26-07-24
Gujarat,Devbhumi Dwarka,Malaria,11,00,24-07-24,24-07-24
Gujarat,Gandhinagar Corporation,Dengue,08,00,27-07-24,27-07-24
Gujarat,Jamnagar Corporation,Dengue,07,00,26-07-24,26-07-24
Gujarat,Junagadh Corporation,Dengue,06,00,27-07-24,27-07-24
Gujarat,Kutch,Malaria,16,00,24-07-24,24-07-24
Gujarat,Panchmahal,Acute Diarrheal Disease,13,00,23-07-24,23-07-24
Gujarat,Rajkot Corporation,Dengue,08,00,26-07-24,26-07-24
Gujarat,Surat Corporation,Dengue,08,00,26-07-24,26-07-24
Gujarat,Vadodara Corporation,Dengue,07,00,27-07-24,27-07-24
Haryana,Faridabad,Dengue,14,00,27-07-24,27-07-24
Haryana,Gurugram,Dengue,16,00,26-07-24,26-07-24
Himachal Pradesh,Sirmaur,Dengue,11,00,26-07-24,26-07-24
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,12,00,22-07-24,22-07-24
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,14,00,25-07-24,25-07-24
Jammu and Kashmir,Bandipora,Chickenpox,17,00,27-07-24,27-07-24
Jammu and Kashmir,Baramulla,Acute Diarrheal Disease,19,00,24-07-24,24-07-24
Jammu and Kashmir,Ganderbal,Acute Diarrheal Disease,30,00,22-07-24,22-07-24
Jammu and Kashmir,Kulgam,Acute Diarrheal Disease,12,00,22-07-24,22-07-24
Jammu and Kashmir,Pulwama,Food Poisoning,22,00,24-07-24,24-07-24
Jharkhand,Deoghar,Food Poisoning,10,00,24-07-24,24-07-24
Jharkhand,Dumka,Acute Diarrheal Disease,14,00,24-07-24,24-07-24
Jharkhand,Sahebganj,Acute Diarrheal Disease,18,00,22-07-24,22-07-24
Karnataka,Bagalkot,Acute Diarrheal Disease,17,00,25-07-24,25-07-24
Karnataka,Belagavi,Acute Diarrheal Disease,21,00,23-07-24,23-07-24
Karnataka,Bengaluru Urban,Dengue,10,00,26-07-24,26-07-24
Karnataka,Bidar,Acute Diarrheal Disease,18,00,25-07-24,25-07-24
Karnataka,Chamarajanagar,Acute Diarrheal Disease,11,00,27-07-24,27-07-24
Karnataka,Chitradurga,Acute Diarrheal Disease,17,00,25-07-24,25-07-24
Karnataka,Dakshina Kannada,Acute Diarrheal Disease,11,00,27-07-24,27-07-24
Karnataka,Davanagere,Acute Diarrheal Disease,14,00,23-07-24,23-07-24
Karnataka,Dharwad,Acute Diarrheal Disease,20,00,26-07-24,26-07-24
Karnataka,Gadag,Acute Diarrheal Disease,15,00,24-07-24,24-07-24
Karnataka,Hassan,Acute Diarrheal Disease,13,00,25-07-24,25-07-24
Karnataka,Haveri,Acute Diarrheal Disease,19,00,23-07-24,23-07-24
Karnataka,Kalaburagi,Acute Diarrheal Disease,11,00,24-07-24,24-07-24
Karnataka,Kodagu,Acute Diarrheal Disease,10,00,27-07-24,27-07-24
Karnataka,Kolar,Acute Diarrheal Disease,12,00,25-07-24,25-07-24
Karnataka,Koppal,Acute Diarrheal Disease,16,00,24-07-24,24-07-24
Karnataka,Mandya,Acute Diarrheal Disease,18,00,27-07-24,27-07-24
Karnataka,Mysuru,Dengue,12,00,26-07-24,26-07-24
Karnataka,Raichur,Acute Diarrheal Disease,14,00,24-07-24,24-07-24
Karnataka,Ramanagara,Acute Diarrheal Disease,12,00,27-07-24,27-07-24
Karnataka,Shivamogga,Acute Diarrheal Disease,19,00,26-07-24,26-07-24
Karnataka,Tumakuru,Acute Diarrheal Disease,16,00,23-07-24,23-07-24
Karnataka,Udupi,Dengue,13,00,26-07-24,26-07-24
Karnataka,Uttara Kannada,Acute Diarrheal Disease,15,00,27-07-24,27-07-24
Karnataka,Vijayapura,Acute Diarrheal Disease,17,00,23-07-24,23-07-24
Karnataka,Yadgir,Acute Diarrheal Disease,14,00,24-07-24,24-07-24
Kerala,Alappuzha,Dengue,15,00,26-07-24,26-07-24
Kerala,Ernakulam,Dengue,18,00,27-07-24,27-07-24
Kerala,Idukki,Acute Diarrheal Disease,13,00,25-07-24,25-07-24
Kerala,Kannur,Dengue,16,00,27-07-24,27-07-24
Kerala,Kasaragod,Malaria,07,00,24-07-24,24-07-24
Kerala,Kollam,Dengue,14,00,26-07-24,26-07-24
Kerala,Kottayam,Dengue,13,00,27-07-24,27-07-24
Kerala,Kozhikode,Dengue,17,00,27-07-24,27-07-24
Kerala,Malappuram,Dengue,19,00,26-07-24,26-07-24
Kerala,Palakkad,Dengue,12,00,25-07-24,25-07-24
Kerala,Pathanamthitta,Dengue,11,00,26-07-24,26-07-24
Kerala,Thiruvananthapuram,Dengue,20,00,27-07-24,27-07-24
Kerala,Thrissur,Dengue,15,00,26-07-24,26-07-24
Kerala,Wayanad,Scrub Typhus,09,00,25-07-24,25-07-24
Madhya Pradesh,Bhopal,Acute Diarrheal Disease,32,00,25-07-24,25-07-24
Madhya Pradesh,Guna,Acute Diarrheal Disease,28,00,22-07-24,22-07-24
Madhya Pradesh,Gwalior,Fever,11,00,22-07-24,22-07-24
Madhya Pradesh,Katni,Acute Diarrheal Disease,16,00,24-07-24,24-07-24
Madhya Pradesh,Katni,Acute Diarrheal Disease,18,00,25-07-24,25-07-24
Madhya Pradesh,Narsinghpur,Dengue,07,00,24-07-24,24-07-24
Madhya Pradesh,Sehore,Acute Diarrheal Disease,20,00,23-07-24,23-07-24
Madhya Pradesh,Sehore,Malaria,05,00,23-07-24,23-07-24
Madhya Pradesh,Sehore,Dengue,06,00,23-07-24,23-07-24
Madhya Pradesh,Vidisha,Acute Diarrheal Disease,19,00,24-07-24,24-07-24
Maharashtra,Bhandara,Acute Diarrheal Disease,20,00,25-07-24,25-07-24
Maharashtra,Buldhana,Acute Diarrheal Disease,25,00,22-07-24,22-07-24
Maharashtra,Chandrapur,Acute Diarrheal Disease,28,00,23-07-24,23-07-24
Maharashtra,Gadchiroli,Acute Diarrheal Disease,30,01,22-07-24,22-07-24
Maharashtra,Gondia,Acute Diarrheal Disease,22,00,25-07-24,25-07-24
Maharashtra,Kolhapur,Acute Diarrheal Disease,18,00,24-07-24,24-07-24
Maharashtra,Nagpur,Acute Diarrheal Disease,27,00,23-07-24,23-07-24
Maharashtra,Nanded,Measles,10,00,26-07-24,26-07-24
Maharashtra,Nashik,Acute Diarrheal Disease,15,00,27-07-24,27-07-24
Maharashtra,Pune,Dengue,11,00,27-07-24,27-07-24
Maharashtra,Raigad,Acute Diarrheal Disease,16,00,24-07-24,24-07-24
Maharashtra,Ratnagiri,Leptospirosis,07,00,25-07-24,25-07-24
Maharashtra,Sangli,Acute Diarrheal Disease,19,00,24-07-24,24-07-24
Maharashtra,Satara,Acute Diarrheal Disease,21,00,25-07-24,25-07-24
Maharashtra,Sindhudurg,Malaria,06,00,25-07-24,25-07-24
Maharashtra,Solapur,Acute Diarrheal Disease,14,00,27-07-24,27-07-24
Maharashtra,Thane,Leptospirosis,08,00,26-07-24,26-07-24
Maharashtra,Wardha,Acute Diarrheal Disease,24,00,23-07-24,23-07-24
Maharashtra,Washim,Acute Diarrheal Disease,17,00,22-07-24,22-07-24
Maharashtra,Yavatmal,Acute Diarrheal Disease,26,00,22-07-24,22-07-24
Manipur,Imphal East,Acute Diarrheal Disease,15,00,26-07-24,26-07-24
Manipur,Thoubal,Japanese Encephalitis,02,00,24-07-24,24-07-24
Meghalaya,East Khasi Hills,Measles,11,00,23-07-24,23-07-24
Odisha,Ganjam,Acute Diarrheal Disease,18,00,24-07-24,24-07-24
Odisha,Kalahandi,Malaria,20,00,25-07-24,25-07-24
Odisha,Kandhamal,Malaria,22,00,25-07-24,25-07-24
Odisha,Koraput,Malaria,25,00,23-07-24,23-07-24
Odisha,Malkangiri,Malaria,30,01,22-07-24,22-07-24
Odisha,Nabarangpur,Malaria,28,00,23-07-24,23-07-24
Odisha,Rayagada,Malaria,26,00,24-07-24,24-07-24
Puducherry,Puducherry,Dengue,09,00,27-07-24,27-07-24
Punjab,Faridkot,Chickenpox,15,00,26-07-24,26-07-24
Punjab,Patiala,Acute Diarrheal Disease,20,00,25-07-24,25-07-24
Punjab,S.A.S Nagar,Acute Diarrheal Disease,28,00,23-07-24,23-07-24
Rajasthan,Ganganagar,Acute Diarrheal Disease,16,00,26-07-24,26-07-24
Rajasthan,Sikar,Acute Diarrheal Disease,19,00,26-07-24,26-07-24
Tamil Nadu,Coimbatore,Dengue,14,00,27-07-24,27-07-24
Tamil Nadu,Dharmapuri,Dengue,12,00,26-07-24,26-07-24
Tamil Nadu,Erode,Dengue,11,00,27-07-24,27-07-24
Tamil Nadu,Kancheepuram,Dengue,10,00,26-07-24,26-07-24
Tamil Nadu,Krishnagiri,Dengue,13,00,26-07-24,26-07-24
Tamil Nadu,Madurai,Dengue,16,00,27-07-24,27-07-24
Tamil Nadu,Salem,Dengue,18,00,27-07-24,27-07-24
Tamil Nadu,Tiruchirappalli,Dengue,15,00,27-07-24,27-07-24
Tamil Nadu,Tiruvallur,Dengue,17,00,26-07-24,26-07-24
Tamil Nadu,Vellore,Dengue,19,00,26-07-24,26-07-24
Telangana,Bhadradri Kothagudem,Malaria,08,00,25-07-24,25-07-24
Telangana,Hyderabad,Dengue,13,00,27-07-24,27-07-24
Telangana,Karimnagar,Dengue,10,00,26-07-24,26-07-24
Telangana,Khammam,Dengue,12,00,26-07-24,26-07-24
Telangana,Mahabubabad,Malaria,07,00,25-07-24,25-07-24
Telangana,Medchal Malkajgiri,Dengue,11,00,27-07-24,27-07-24
Telangana,Mulugu,Malaria,09,00,25-07-24,25-07-24
Telangana,Nizamabad,Dengue,14,00,26-07-24,26-07-24
Telangana,Ranga Reddy,Dengue,15,00,27-07-24,27-07-24
Telangana,Warangal,Dengue,16,00,27-07-24,27-07-24
Tripura,Dhalai,Malaria,21,00,23-07-24,23-07-24
Tripura,Gomati,Malaria,19,00,24-07-24,24-07-24
