Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Meghalaya,RI Bhoi,Acute Diarrheal Disease,30,00,18-09-21,19-09-21,Under Surveillance  
Nagaland,Mon,Fever with Rashes,01,00,13-09-21,18-09-21,Under Surveillance  
Uttarakhand,Haridwar,Acute Encephalitis Syndrome,01,01,14-09-21,19-09-21,Under Surveillance  
West Bengal,Murshidabad,Food Poisoning,179,00,14-09-21,15-09-21,Under Control  
Assam,Darrang (Mangaldo),Japanese Encephalitis,01,00,01-09-21,,Under Surveillance  
Chandigarh,Chandigarh,Cholera,11,00,01-08-21,,Under Surveillance  
Haryana,Nuh,Dengue,26,00,03-09-21,,Under Control   
Karnataka,Tumkur,Chikungunya,63,00,18-08-21,,Under Control  
Uttar Pradesh,Farrukhabad,Fever,163,01,01-09-21,,Under Control  
Uttar Pradesh,Kannauj,Dengue,11,00,31-08-21,,Under Surveillance
Assam,Lakhimpur,Measles,02,00,17-09-21,22-09-21,Under Surveillance  
Gujarat,Surat,Cholera,28,00,24-09-21,27-09-21,Under Control  
Jharkhand,West Singhbhum,Acute Diarrheal Disease,66,00,20-09-21,26-09-21,Under Surveillance  
Karnataka,Mysuru,Dengue,13,00,20-09-21,21-09-21,Under Control  
Maharashtra,Aurangabad,Acute Febrile Illness,14,01,19-09-21,22-09-21,Under Control  
Maharashtra,Jaigaon,Acute Febrile Illness,12,00,18-09-21,21-09-21,Under Surveillance  
Maharashtra,Nandurban,Acute Febrile Illness,17,01,21-09-21,23-09-21,Under Surveillance  
Punjab,Sangrur,Acute Diarrheal Disease,14,00,24-09-21,24-09-21,Under Control  
Tamil Nadu,Cuddalore,Food Borne Illness,17,00,20-09-21,22-09-21,Under Control  
Tamil Nadu,Virudhunagar,Leptospirosis,13,00,25-09-21,29-09-21,Under Control  
Uttar Pradesh,Bareilly,Dengue,158,05,23-09-21,23-09-21,Under Control  
Assam,Lakhimpur,Leptospirosis,02,00,02-09-21,,Under Surveillance  
Maharashtra,Gadchiroli,Serub Typhus,18,01,06-09-21,,Under Control  
Meghalaya,East Garo Hills,Dengue,03,00,16-09-21,,Under Surveillance  
Uttar Pradesh,Hardol,Acute Febrile Illness,51,00,12-09-21,,Under Surveillance   
Uttar Pradesh,Kannauj,Dengue,60,00,10-09-21,,Under Surveillance  
Bihar,Jahanabad,Suspected Japanese Encephalitis,02,00,25-09-21,29-09-21,Under Surveillance  
Haryana,Gurugram,Acute Diarrheal Disease,20,00,30-09-21,01-10-21,Under Control  
Jharkhand,West Singhbhum,Acute Diarrheal Disease,11,00,29-09-21,30-09-21,Under Surveillance  
Maharashtra,Osmanabad,Chikungunya,15,00,18-09-21,28-09-21,Under Control  
Punjab,Shahid Bhagat Singh Nagar,Acute Diarrheal Disease,25,00,01-10-21,03-10-21,Under Surveillance  
Uttar Pradesh,Auraiya,Dengue,34,00,28-09-21,01-10-21,Under Surveillance  
Uttar Pradesh,Azamgarh,Cholera,575,03,28-09-21,29-09-21,Under Control  
Uttar Pradesh,Gautam Budh Nagar,Cholera,03,00,27-09-21,01-10-21,Under Control  
Uttar Pradesh,Lucknow,Cholera,13,00,02-10-21,03-10-21,Under Control  
Uttar Pradesh,Siddharth Nagar,Food Poisoning,04,00,30-09-21,01-10-21,Under Surveillance  
Uttar Pradesh,Siddharth Nagar,Cholera,60,02,25-09-21,29-09-21,Under Control  
Uttarakhand,Dehradun,Acute Diarrheal Disease,25,00,29-09-21,03-10-21,Under Surveillance  
West Bengal,Jalpaiguri,Seasonal Influenza,1217,03,10-09-21,13-09-21,Under surveillance  
Jharkhand,Hazaribagh,Japanese Encephalitis,15,00,23-09-21,,Under Surveillance  
Jharkhand,Sahebganj,Acute Diarrheal Disease,04,00,24-09-21,,Under Control  
Maharashtra,Gadelirroll,Dengue,16,01,28-09-21,,Under Control  
Maharashtra,Osmanabad,Dengue,04,00,10-08-21,,Under Control  
Uttar Pradesh,Ghaziabad,Dengue,388,00,31-08-21,,Under Control  
Uttar Pradesh,Hardoi,Malaria/Dengue,77,00,19-09-21,,Under Surveillance  
Uttar Pradesh,Hardoi,Malaria,150,00,13-09-21,,Under Control  
Uttar Pradesh,Jhansi,Dengue,40,00,01-09-21,,Under Control  
Uttar Pradesh,Jalam,Dengue,23,01,01-09-21,,Under Surveillance  
Uttar Pradesh,Kamauj,Dengue,83,00,09-09-21,,Under Surveillance  
Uttar Pradesh,Mirzapur,Provisional Food Poisoning,38,01,22-09-21,,Under Surveillance
Karnataka,Gadag,Influenza A H3N2,93,00,13-01-21,20-01-21
Karnataka,Tumkur,Influenza A H3N2,15,00,17-01-21,21-01-20
Karnataka,Raichur,Acute Diarrheal Disease,13,00,20-01-20,21-01-20
Karnataka,Chickaballapura,Acute Diarrheal Disease,61,00,24-01-21,24-01-21
Karnataka,Bagalkot,Chikungunya,18,00,17-01-21,18-01-21
Karnataka,Ballari,Acute Diarrheal Disease,18,01,20-01-21,21-01-21
Karnataka,Ballari,Acute Diarrheal Disease,19,00,24-01-21,24-01-21
Kerala,Trivandrum,Food Poisoning,28,00,18-01-21,24-01-21
Maharashtra,Gadchiroli,Malaria,02,01,20-01-21,21-01-21
Punjab,Patiala,Acute Diarrheal Disease,41,00,18-01-21,19-01-21
West Bengal,North 24 Parganas,Acute Diarrheal Disease,62,00,18-01-21,20-01-21
Assam,Dima Hasao,Acute Encephalitis Syndrome,01,01,02-10-21,05-10-21,Under Control
Assam,Nagaan,Leptospirosis,02,00,06-10-21,08-10-21,Under Surveillance
Gujarat,Jamnagar,Food Poisoning,05,01,09-10-21,09-10-21,Under Control
Gujarat,Navsari,Cholera,72,00,04-10-21,04-10-21,Under Surveillance
Gujarat,Surat,Cholera,15,00,08-10-21,08-10-21,Under Surveillance
Jharkhand,West Singhbhum,Food Poisoning,07,00,04-10-21,05-10-21,Under Surveillance
Jharkhand,West Singhbhum,Acute Diarrheal Disease,26,00,03-10-21,05-10-21,Under Surveillance
Jharkhand,West Singhbhum,Malaria,48,00,08-10-21,09-10-21,Under Surveillance
Maharashtra,Beed,Dengue Chikungunya,19,00,03-10-21,05-10-21,Under Surveillance
Maharashtra,Gadchiroli,Dengue,04,01,04-10-21,05-10-21,Under Control
Maharashtra,Thane,Leptospirosis,02,01,04-10-21,07-10-21,Under Surveillance
Tamil Nadu,Ariyalur,Dengue,17,00,06-10-21,07-10-21,Under Control
Tamil Nadu,Salem,Dengue,36,00,06-10-21,07-10-21,Under Control
Tamil Nadu,Sivaganga,Dengue,13,00,30-09-21,06-10-21,Under Surveillance
Uttar Pradesh,Farrukhabad,Malaria,13,00,07-10-21,10-10-21,Under Surveillance
Uttar Pradesh,Jalaun,Dengue,07,00,04-10-21,08-10-21,Under Surveillance
Uttar Pradesh,Pratapgarh,Food Poisoning,11,00,01-10-21,04-10-21,Under Control
Uttar Pradesh,Siddharth Nagar,Food Poisoning,03,00,05-10-21,05-10-21,Under Surveillance
Uttar Pradesh,Unnao,Food Poisoning,51,00,08-10-21,11-10-21,Under Control
Uttarakhand,Haridwar,Food Poisoning,22,00,07-10-21,11-10-21,Under Control
West Bengal,Purulia,Cholera,28,00,03-10-21,03-10-21,Under Surveillance
West Bengal,South 24 Parganas,Food Poisoning,56,00,09-10-21,09-10-21,Under Surveillance
Kerala,Palakkad,Acute Respiratory Infection,30,00,26-09-21,,Under Surveillance
Maharashtra,Chandrapur,Dengue,07,00,16-08-21,,Under Surveillance
Maharashtra,Chandrapur,Acute Febrile Illness,06,01,30-08-21,,Under Surveillance
Maharashtra,Chandrapur,Malaria,09,00,22-08-21,,Under Control
Maharashtra,Osmanabad,Chikungunya,05,01,29-09-21,,Under Control
Odisha,Koraput,Acute Diarrheal Disease,22,02,26-09-21,,Under Surveillance
Punjab,SAS Nagar,Acute Diarrheal Disease,15,00,10-10-21,,Under Surveillance
Uttar Pradesh,Fatehpur,Scrub Typhus Dengue Leptospirosis,05,01,26-09-21,,Under Surveillance
Uttar Pradesh,Fatehpur,Mumps (Provisional),10,00,23-09-21,,Under Control
Uttar Pradesh,Ghazipur,Dengue,09,00,20-09-21,,Under Control
Uttar Pradesh,Sant Ravi Das Nagar,Acute Diarrheal Disease,07,01,26-09-21,,Under Surveillance
West Bengal,North 24 Parganas,Cholera,1027,01,07-09-21,,Under Control
Assam,Nagaan,Leptospirosis,02,01,07-10-21,11-10-21,Under Surveillance  
Karnataka,Ballari,Acute Diarrheal Disease,11,00,16-10-21,16-10-21,Under Control  
Karnataka,Kalaburagi,Acute Diarrheal Disease,15,00,11-10-21,11-10-21,Under Control  
Karnataka,Kalaburagi,Cholera,05,00,11-10-21,11-10-21,Under Control  
Maharashtra,Beed,Dengue,06,00,13-10-21,14-10-21,Under Surveillance  
Punjab,SAS Nagar,Acute Diarrheal Disease,26,00,17-10-21,18-10-21,Under Surveillance  
Uttar Pradesh,Lucknow,Acute Diarrheal Disease,12,00,11-10-21,12-10-21,Under Surveillance  
Uttarakhand,Haridwar,Dengue,172,00,16-10-21,18-10-21,Under Control  
West Bengal,Purulia,Cholera,22,00,13-10-21,14-10-21,Under Control  
Assam,Darrang (Mangaldoi),Leptospirosis,02,01,07-09-21,,Under Surveillance  
Assam,Darrang (Mangaldoi),Scrub Typhus,01,01,14-08-21,,Under Surveillance  
Gujarat,Banaskantha,Epidemic Dropsy,07,03,23-07-21,,Under Control  
Uttar Pradesh,Ghazipur,Dengue,12,00,20-09-21,,Under Control  
Uttar Pradesh,Ghazipur,Food Poisoning,12,00,18-09-21,,Under Control  
Uttar Pradesh,Jhansi,Leptospirosis,08,00,15-09-21,,Under Control  
Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,10,00,27-09-21,,Under Control  
West Bengal,North 24 Parganas,Cholera,1027,01,07-09-21,,Under Control
Gujarat,Navsari,Acute Diarrheal Disease,05,00,21-10-21,21-10-21,Under Control  
Haryana,Kaithal,Acute Diarrheal Disease,38,00,23-10-21,25-10-21,Under Surveillance  
Jharkhand,East Singhbhum,Acute Diarrheal Disease,04,00,15-10-21,19-10-21,Under Control  
Jharkhand,West Singhbhum,Acute Diarrheal Disease,24,00,19-10-21,22-10-21,Under Surveillance  
Karnataka,Gadag,Fever,09,00,18-10-21,18-10-21,Under Surveillance  
Karnataka,Bengaluru Urban,Acute Diarrheal Disease,171,00,18-10-21,19-10-21,Under Control  
Karnataka,Mandya,Food Poisoning,152,00,16-10-21,20-10-21,Under Surveillance  
Kerala,Kozhikode,Food Poisoning,21,00,21-10-21,26-10-21,Under Surveillance  
Maharashtra,Beed,Fever,10,01,19-10-21,22-10-21,Under Control  
Nagaland,Mon,Measles,04,00,16-10-21,31-10-21,Under Control  
Odisha,Koraput,Suspected Anthrax,03,01,20-10-21,24-10-21,Under Surveillance  
Punjab,Kapurthala,Acute Diarrheal Disease,120,00,18-10-21,18-10-21,Under Surveillance  
Telangana,Hyderabad,Food Poisoning,30,00,20-10-21,24-10-21,Under Surveillance  
Tamil Nadu,Pudukottai,Dengue,20,00,21-10-21,22-10-21,Under Surveillance  
Tamil Nadu,Madurai,Acute Diarrheal Disease,21,00,18-10-21,20-10-21,Under Surveillance  
Tamil Nadu,Vellore,Acute Diarrheal Disease,28,00,21-10-21,22-10-21,Under Surveillance  
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,38,00,21-10-21,22-10-21,Under Surveillance  
Uttar Pradesh,Ghazipur,Acute Diarrheal Disease,43,00,14-10-21,22-10-21,Under Control  
Uttar Pradesh,Muzaffarnagar,Dengue,140,00,31-08-21,18-10-21,Under Surveillance  
Uttar Pradesh,Pratapgarh,Food Poisoning,11,00,19-10-21,20-10-21,Under Surveillance  
Uttar Pradesh,Siddharth Nagar,Food Poisoning,12,01,23-10-21,23-10-21,Under Control  
West Bengal,Birbhum,Acute Diarrheal Disease,38,00,21-10-21,24-10-21,Under Surveillance  
Jharkhand,Garhwa,Dengue,04,00,05-10-21,,Under Surveillance  
Kerala,Wayanad,Acute Diarrheal Disease,28,00,10-10-21,,Under Surveillance  
Maharashtra,Thane,Dengue,05,01,01-10-21,,Under Surveillance  
Uttar Pradesh,Agra,Dengue,43,01,09-09-21,,Under Surveillance  
Uttar Pradesh,Auraiya,Fever,48,00,04-10-21,,Under Surveillance
Kerala,Wayanad,Food Poisoning,48,00,05-11-21,08-11-21
Maharashtra,Gadchiroli,Malaria,01,01,01-11-21,02-11-21
Maharashtra,Thane,Dengue,01,01,31-10-21,03-11-21
Punjab,Patiala,Acute Diarrheal Disease,49,06,04-11-21,05-11-21
Tamil Nadu,Ramanathapuram,Dengue,05,00,30-10-21,08-11-21
West Bengal,Purulia,Acute Diarrheal Disease,25,00,02-11-21,03-11-21
Gujarat,Sabarkantha,CCHF,01,00,23-10-21,
Uttar Pradesh,Lalitpur,Measles,06,00,12-08-21,
Uttar Pradesh,Mirzapur,Measles,23,00,08-07-21,
Uttar Pradesh,Pratapgarh,Measles,25,00,24-08-21,
Gujarat,Navsari,Acute Diarrheal Disease,12,00,22-11-21,23-11-21
Jharkhand,East Singhbhum,Acute Diarrheal Disease,23,00,07-11-21,13-11-21
Kerala,Kozhikode,Food Poisoning,21,01,12-11-21,13-11-21
Maharashtra,Kolhapur,Cholera,66,00,08-11-21,11-11-21
Maharashtra,Satara,Chikungunya,05,00,07-11-21,12-11-21
Odisha,Nabarangpur,Scrub Typhus,07,00,10-11-21,12-11-21
Punjab,SBS Nagar,Acute Diarrheal Disease,73,00,09-11-21,10-11-21
Punjab,Patiala,Suspected Food Poisoning,09,00,11-11-21,13-11-21
Tamil Nadu,Thanjavur,Leptospirosis,13,00,10-11-21,11-11-21
Telangana,Kamareddy,Food Poisoning,31,00,06-11-21,08-11-21
Telangana,Nirmal,Food Poisoning,60,00,09-11-21,10-11-21
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,24,01,05-11-21,09-11-21
Uttar Pradesh,Ghazipur,Acute Diarrheal Disease,09,01,09-11-21,11-11-21
Uttar Pradesh,Kannauj,Zika Virus,01,00,10-11-21,10-11-21
Uttar Pradesh,Lucknow,Zika Virus,06,00,11-11-21,12-11-21
West Bengal,South 24 Parganas,Food Poisoning,192,00,13-11-21,14-11-21
Jharkhand,Dhanbad,Acute Diarrheal Disease,15,00,16-09-21,
Maharashtra,Satara,Dengue,14,00,16-10-21,
Uttar Pradesh,Ballia,Acute Diarrheal Disease,14,00,30-10-21,
Uttar Pradesh,Fatehpur,Suspected Measles,01,01,29-07-21,
Uttar Pradesh,Firozabad,Rubella,01,00,03-09-21,
Uttar Pradesh,Firozabad,Measles,07,00,21-09-21,
Uttar Pradesh,Gorakhpur,Measles Rubella,67,00,01-07-21,
West Bengal,Howrah,Suspected Dengue,290,00,17-10-21,
Jharkhand,West Singhbhum,Acute Diarrheal Disease,12,00,16-11-21,17-11-21
Kerala,Kozhikode,Food Poisoning,14,00,20-11-21,22-11-21
Kerala,Wayanad,Food Poisoning,81,00,15-11-21,16-11-21
Maharashtra,Kolhapur,Cholera,03,00,12-11-21,17-11-21
Maharashtra,Raigad,Malaria,19,00,11-11-21,17-11-21
Odisha,Sundargarh,Food Poisoning,98,00,21-11-21,26-11-21
Odisha,Bargarh,Acute Diarrheal Disease,28,00,21-11-21,22-11-21
Tamil Nadu,Thanjavur,Typhoid,19,00,17-11-21,18-11-21
Tamil Nadu,Thirupathur,Food Borne Illness,13,00,16-11-21,17-11-21
Uttar Pradesh,Auraiya,Dengue,43,00,18-11-21,20-11-21
Uttar Pradesh,Ambedkar Nagar,Measles Rubella (Provisional),06,00,11-11-21,17-11-21
Uttar Pradesh,Kanpur,Zika Virus,142,00,23-10-21,15-11-21
West Bengal,Murshidabad,Food Poisoning,152,00,22-11-21,23-11-21
Jharkhand,Dhanbad,Acute Diarrheal Disease,31,00,18-10-21,
Uttarakhand,Uttarkashi,Viral Hepatitis,30,00,20-11-21,
Jharkhand,West Singhbhum,Chickenpox,06,00,22-11-21,23-11-21
Kerala,Kasaragod,Food Poisoning,23,00,23-11-21,25-11-21
Kerala,Pathanamthitta,Food Poisoning,39,00,24-11-21,26-11-21
Kerala,Kollam,Hepatitis B,04,00,26-11-21,29-11-21
Kerala,Kollam,Food Poisoning,13,00,22-11-21,26-11-21
Kerala,Kollam,Hepatitis C,06,00,26-11-21,29-11-21
Maharashtra,Nanded,Food Poisoning,250,00,23-11-21,24-11-21
Maharashtra,Nanded,Chikungunya,09,00,23-11-21,28-11-21
Maharashtra,Thane,Dengue,01,01,01-11-21,25-11-21
Tamil Nadu,Salem,Acute Diarrheal Disease,13,00,22-11-21,26-11-21
Tamil Nadu,Kalhakurichi,Acute Diarrheal Disease,19,00,22-11-21,23-11-21
Telangana,Rangareddy,Acute Gastroenteritis,16,00,26-11-21,27-11-21
Uttar Pradesh,Fatehpur,Zika Virus,01,00,25-11-21,26-11-21
Kerala,Thrissur,Acute Diarrheal Disease,57,00,08-11-21,
Telangana,Naigonda,Dengue,09,00,15-11-21,
Uttar Pradesh,Jhansi,Fever with Rash,10,00,03-08-21,
Kerala,Ernakulam,Acute Diarrheal Disease,61,00,29-10-21,06-12-21
Kerala,Thrissur,Acute Diarrheal Disease,20,00,26-11-21,31-11-21
Kerala,Thrissur,Food Poisoning,138,00,01-12-21,06-12-21
Maharashtra,Kolapur,Food Poisoning,05,00,03-12-21,05-12-21
Mizoram,Aizwal West,Dengue,16,00,02-12-21,02-12-21
Tamil Nadu,Vellore,Acute Diarrheal Disease,05,00,01-12-21,03-12-21
Telangana,Jagtial,Food Poisoning,38,00,03-12-21,04-12-21
Telangana,Karimnagar,Food Poisoning,53,00,03-12-21,05-12-21
Uttar Pradesh,Sonbhadra,Malaria,119,00,27-11-21,04-12-21
Jharkhand,Dhanbad,Acute Diarrheal Disease,19,00,07-11-21,
Maharashtra,Raigad,Leptospirosis,12,00,13-11-21,
Maharashtra,Sindhudurga (Kudah),Malaria,04,00,24-11-21,
Gujarat,Jammagar,Food Poisoning,48,01,03-12-21,03-12-21
Gujarat,Surat,Acute Diarrheal Disease,22,00,11-12-21,11-12-21
Jharkhand,Sahibganj,Measles,04,00,08-11-21,08-12-21
Kerala,Ernakulam,Acute Diarrheal Disease,15,00,09-12-21,06-12-21
Kerala,Kozhikode,Cholera,01,00,08-12-21,09-12-21
Maharashtra,Akola,Chikungunya,10,00,07-12-21,07-12-21
Maharashtra,Kolhapur,Acute Diarrheal Disease,29,00,08-12-21,11-12-21
Odisha,Rayagada,Acute Diarrheal Disease,11,00,05-12-21,08-12-21
Tamil Nadu,Tiruvallur,Acute Diarrheal Disease,167,00,03-12-21,08-12-21
Tamil Nadu,Thanjavur,Mixed Fever,45,00,11-12-21,11-12-21
West Bengal,Burdwan,Acute Diarrheal Disease,89,00,09-12-21,10-12-21
Chhattisgarh,Balodabazar,Acute Diarrheal Disease,26,00,28-11-21,
Kerala,Palakkad,Visceral Leishmaniosis,01,01,01-11-21,
Karnataka,Ballari,Acute Diarrheal Disease,14,0,26-01-21,27-01-21
Karnataka,Hassan,Rabies,1,1,29-01-21,29-01-21
Kerala,Ernakulam,Acute Diarrheal Disease,23,0,25-01-21,02-02-21
Madhya Pradesh,Nimach,Food Poisoning,16,0,25-01-21,25-01-21
Maharashtra,Gadchiroli,Malaria,10,1,26-01-21,27-01-21
Maharashtra,Kolhapur,Hand Foot and Mouth Disease (HFMD),12,0,25-01-21,30-01-21
Odisha,Koraput,Suspected Food Poisoning,13,0,28-01-21,30-01-21
Puducherry,Puducherry,Dengue,13,0,25-01-21,25-01-21
Tamil Nadu,Virudhunagar-Sivakasi,Dengue,7,0,25-01-21,25-01-21
Andhra Pradesh,Visakhapatnam,Acute Diarrheal Disease,7,0,19-01-21,
Assam,Goalpara,Chickenpox,22,0,05-01-21,
Karnataka,Raichur,Acute Diarrheal Disease,13,0,20-01-21,
Kerala,Thrissur,Melioidosis,1,0,22-06-20,
Tamil Nadu,Tirunelveli,Acute Encephalitis Syndrome,1,1,19-01-21,
Gujarat,Surat,Acute Diarrheal Disease,10,00,13-12-21,13-12-21
Karnataka,Davanagere,Acute Diarrheal Disease,41,00,17-12-21,17-12-21
Karnataka,Kalaburagi,Acute Diarrheal Disease,14,00,16-12-21,18-12-21
Kerala,Ermakulam,Acute Diarrheal Disease,24,00,15-12-21,17-12-21
Maharashtra,Kolhapur,Chikungunya,06,00,17-12-21,18-21-21
Telangana,Hyderabad,Food Poisoning,69,00,14-12-21,16-12-21
Tamil Nadu,Thiruvallur - Poonamallee,Food Borne Illness,350,00,15-12-21,16-12-21
Tamil Nadu,Dindigul,Acute Febrile Illness,14,00,18-12-21,20-12-21
Karnataka,Mandya,Rabies,01,01,02-12-21,
Maharashtra,Satara,Dengue,10,00,14-09-21,
Maharashtra,Satara,Chikungunya,08,00,15-08-21,
Maharashtra,Satara,Dengue,03,00,25-08-21,
Maharashtra,Satara,Dengue,05,00,26-10-21,
Assam,Nagaan,Leptospirosis,01,01,18-12-21,23-12-21
Assam,Nagaan,Dengue,01,00,20-12-21,22-12-21
Jharkhand,Godda,Fever with Rashes,02,00,24-12-21,25-12-21
Jharkhand,Ranchi,Fever with Rashes,02,00,22-12-21,22-12-21
Maharashtra,Kolhapur,Acute Diarrheal Disease,12,01,20-12-21,22-12-21
Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,19,00,20-12-21,20-12-21
Tamil Nadu,Tiruchirappalli,Fever,16,00,20-12-21,21-12-21
Telangana,Nalgonda,Dengue,08,00,20-12-21,23-12-21
Uttar Pradesh,Fatehpur,Jatropha Poisoning,35,00,20-12-21,21-12-21
Tamil Nadu,Tiruvallur,Acute Diarrheal Disease,13,00,15-12-21,
Uttar Pradesh,Pilibhit,Chickenpox,29,00,10-12-21,
Jharkhand,Pakur,Fever with Rash,12,00,24-12-21,29-12-21
Maharashtra,Jaigaon,Fever,13,00,28-12-21,31-12-21
Andhra Pradesh,Prakasam,Dog Bite,1,1,29-01-21,02-02-21
Assam,Karbi Anglong (Diphu),Food Poisoning,202,0,02-02-21,03-02-21
Bihar,Supaul,Food Poisoning,40,0,07-02-21,08-02-21
Himachal Pradesh,Bilaspur,Acute Diarrheal Disease,309,0,06-02-21,06-02-21
Karnataka,Chamarajanagara,Chikungunya,15,0,02-01-21,06-02-21
Karnataka,Hassan,Acute Diarrheal Disease,14,0,01-02-21,03-02-21
Karnataka,Mandya,Acute Diarrheal Disease,26,0,04-02-21,06-02-21
Karnataka,Raichur,Acute Diarrheal Disease,18,0,05-02-21,06-02-21
Maharashtra,Satara,Chikungunya,20,0,25-01-21,01-02-21
Maharashtra,Thane,Malaria,2,1,06-01-21,01-02-21
Meghalaya,East Khasi Hills,Acute Diarrheal Disease,5,2,27-01-21,01-02-21
Meghalaya,South Garo Hills,Acute Diarrheal Disease,15,0,07-01-21,03-02-21
Odisha,Bolangir,Chikungunya,5,0,30-01-21,01-02-21
Odisha,Bolangir,Chickenpox,5,0,30-01-21,01-02-21
Odisha,Jajpur,Acute Diarrheal Disease,35,0,04-02-21,06-02-21
Odisha,Puri,Acute Diarrheal Disease,350,0,06-02-21,06-02-21
Uttar Pradesh,Amethi,Chickenpox,18,0,30-01-21,02-02-21
Assam,Goalpara,Acute Diarrheal Disease,13,0,15-01-21,
Maharashtra,Satara,Dysentery,35,0,15-01-21,
Maharashtra,Satara,Dysentery,44,0,10-01-21,
Andhra Pradesh,Anantapur,Food Poisoning,53,0,11-02-21,11-02-21
Assam,Nagaon,Chickenpox,41,0,12-02-21,13-02-21
Jammu & Kashmir,Doda,Enteric Fever (Typhoid),130,0,08-02-21,13-02-21
Jharkhand,East Singhbhum,Chickenpox,10,0,08-02-21,08-02-21
Jharkhand,Simdega,Chickenpox,22,0,07-02-21,13-02-21
Karnataka,Dharwad,Dengue,3,0,09-02-21,09-02-21
Karnataka,Davanagere,Leptospirosis,1,0,09-02-21,09-02-21
Maharashtra,Satara,Chikungunya,19,0,05-02-21,11-02-21
Maharashtra,Thane,Chikungunya,2,0,30-01-21,08-02-21
Puducherry,Puducherry,Food Poisoning,36,0,16-02-21,16-02-21
West Bengal,Hooghly,Cholera,97,0,06-02-21,07-02-21
West Bengal,Purulia,Acute Diarrheal Disease,25,0,08-02-21,08-02-21
Odisha,Subarnapur,Chickenpox,16,0,20-01-21,
Assam,Barpeta,Measles,01,00,10-02-21,17-02-21
Assam,Dibrugarh,Scrub Typhus,03,01,07-02-21,20-02-21
Assam,Dhemaji,Scrub Typhus,01,00,20-02-21,20-02-21
Assam,Golaghat,Rabies,01,01,20-02-21,20-02-21
Karnataka,Bidar,Chikungunya,30,00,20-02-21,24-02-21
Karnataka,Chikkaballapura,Rabies,01,01,21-02-21,25-02-21
Kerala,Kasaragod,Leptospirosis,26,02,14-02-21,22-02-21
Odisha,Bhadrak,Food Poisoning,42,00,18-02-21,19-02-21
Odisha,Kendrapara,Food Poisoning,47,00,21-02-21,22-02-21
Tamil Nadu,Madurai,Diphtheria,01,00,16-02-21,17-02-21
Uttarakhand,Pauri Garhwal,Hepatitis A,05,00,20-01-21,27-01-2021
Karnataka,Mysuru,Diphtheria,01,01,09-02-21,
Maharashtra,Satara,Dengue,19,00,16-12-20,
Andhra Pradesh,Kurnool,Acute Diarrheal Disease,24,01,20-02-21,21-02-21
Assam,Lakhimpur,Food Poisoning,08,00,21-02-21,22-02-21
Karnataka,Dharwad,Dog bite,05,00,23-02-21,23-02-21
Karnataka,Kolar,Acute Diarrheal Disease,43,00,23-02-21,25-02-21
Karnataka,Tumakuru,Food Poisoning,19,00,22-02-21,23-02-21
Odisha,Puri,Chickenpox,23,00,27-02-21,02-03-21
Punjab,Kapurthala,Food Poisoning,28,00,25-02-21,26-02-21
Puducherry,Puducherry,Acute Diarrheal Disease,108,00,22-02-21,22-02-21
Tamil Nadu,Pudukottai,Acute Diarrheal Disease,41,00,22-02-21,22-02-21
Assam,Dibrugarh,Hepatitis E,01,00,10-02-21,
Jharkhand,Pakur,Measles,14,00,19-02-21,
JAMMU & KASHMIR,Udhampur,Avian Influenza,03 birds,425 birds,31-01-21,
Karnataka,Udupi,Rabies,01,01,29-01-21,
Maharashtra,Jalgaon,Food Poisoning,81,00,17-02-21,
Madhya Pradesh,Dhaar,Acute Diarrheal disease,10,01,12-02-21,
Uttar Pradesh,Siddharth Nagar,Measles,05,00,18-02-21,
Andhra Pradesh,Ananthapur,Acute Diarrheal Disease,30,0,05-03-21,06-03-21
Kerala,Wayanad,Food Poisoning,11,0,04-03-21,04-03-21
Odisha,Balasore,Food Poisoning,40,0,05-03-21,06-03-21
Odisha,Nawarangpur,Food Poisoning,81,0,02-03-21,04-03-21
Puducherry,Puducherry,Dengue,11,0,01-03-21,01-03-21
Tamil Nadu,Perambalur,Acute Diarrheal Disease,14,0,06-03-21,06-03-21
West Bengal,Hooghly,Acute Diarrheal Disease,29,0,06-03-21,08-03-21
Assam,Barpeta,Acute Flaccid Paralysis,1,0,20-02-21,
Assam,Barpeta,Acute Diarrheal Disease,1,0,21-02-21,
Assam,Lakhimpur,Measles,1,0,28-02-21,
Kerala,Ernakulam,Acute Diarrheal Disease,26,0,24-02-21,
Kerala,Ernakulam,Shigella,3,0,24-02-21,
Kerala,Kozhikode,Shigellosis,3,0,26-02-21,
Kerala,Kannur,Hepatitis A,12,0,09-02-21,
West Bengal,Hooghly,Cholera,51,0,26-02-21,
