State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Karnataka,Hassan,Acute Diarrheal Disease,31,2,02-05-2024,03-05-2024
Karnataka,Ramanagara,Cholera,6,0,01-05-2024,04-05-2024
Karnataka,Ramanagara,Cholera,5,0,26-04-2024,30-04-2024
Karnataka,Tumkur,Acute Diarrheal Disease,19,0,26-04-2024,29-04-2024
Kerala,Ernakulam,Hepatitis-A,4,0,02-05-2024,03-05-2024
Kerala,Malappuram,Dengue,3,0,03-05-2024,04-05-2024
Kerala,Palakkad,Acute Diarrheal Disease,9,0,02-05-2024,03-05-2024
Kerala,Palakkad,Acute Diarrheal Disease,17,0,01-05-2024,01-05-2024
Kerala,Thrissur,West Nile Fever,1,0,27-04-2024,01-05-2024
Kerala,Wayanad,Food Poisoning,27,0,02-05-2024,03-05-2024
Madhya Pradesh,Agar Malwa,Dengue,5,0,27-04-2024,30-04-2024
Madhya Pradesh,Dhar,Measles & Rubella,2,0,30-04-2024,30-04-2024
Madhya Pradesh,Guna,Measles,7,0,01-05-2024,01-05-2024
Madhya Pradesh,Guna,Measles,5,0,01-05-2024,01-05-2024
Madhya Pradesh,Harda,Dengue,5,0,25-04-2024,29-04-2024
Madhya Pradesh,Jhabua,Food Poisoning,3,1,30-04-2024,02-05-2024
Madhya Pradesh,Mandsaur,Dengue,11,0,03-05-2024,04-05-2024
Madhya Pradesh,Seoni,Leptospirosis,1,1,30-04-2024,03-05-2024
Maharashtra,Akola,Dengue,22,0,03-05-2024,03-05-2024
Maharashtra,Chandrapur,Leptospirosis,7,1,02-05-2024,02-05-2024
Maharashtra,Kolhapur,Suspected Acute Hepatitis,24,0,02-05-2024,02-05-2024
Maharashtra,Parbhani,Chikungunya,11,0,01-05-2024,03-05-2024
Maharashtra,Pune,Acute Diarrheal Disease,20,0,29-04-2024,03-05-2024
Maharashtra,Satara,Dengue,10,0,03-05-2024,03-05-2024
Maharashtra,Thane,Acute Diarrheal Disease,53,0,03-05-2024,03-05-2024
Meghalaya,East Khasi Hills,Acute Diarrheal Disease,12,0,02-05-2024,03-05-2024
Meghalaya,West Garo Hills,Measles,16,0,04-04-2024,30-04-2024
Odisha,Balangir,Acute Gastroenteritis,25,0,02-05-2024,02-05-2024
Odisha,Deogarh,Chickenpox,19,0,29-04-2024,29-04-2024
Odisha,Koraput,Fever with Rash,12,0,04-05-2024,04-05-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,20,0,30-04-2024,30-04-2024
Odisha,Nabarangpur,Fever with Rash,13,0,27-04-2024,29-04-2024
Odisha,Nabarangpur,Fever with Rash,13,0,27-04-2024,29-04-2024
Odisha,Puri,Cholera,67,1,26-04-2024,29-04-2024
Odisha,Sambalpur,Acute Gastroenteritis,6,0,29-04-2024,29-04-2024
Odisha,Sambalpur,Acute Gastroenteritis,12,0,29-04-2024,29-04-2024
Rajasthan,Sikar,Hepatitis-A,8,0,30-04-2024,02-05-2024
Tamil Nadu,Dindigul,Measles,3,0,29-04-2024,30-04-2024
Tamil Nadu,Erode,Food Poisoning,5,0,02-05-2024,03-05-2024
Tamil Nadu,Theni,Mumps,8,0,02-05-2024,02-05-2024
Uttar Pradesh,Lucknow,Food Poisoning,18,0,29-04-2024,02-05-2024
Uttar Pradesh,Mathura,Food Poisoning,7,0,25-04-2024,02-05-2024
West Bengal,Jalpaiguri,Malaria,112,0,20-04-2024,04-05-2024
Assam,Nalbari,Chickenpox,5,0,24-04-2024,
Gujarat,Jamnagar,Measles,7,0,19-03-2024,
Madhya Pradesh,Harda,Suspected Mumps,7,0,24-04-2024,
Andhra Pradesh,Anantapur,Acute Diarrheal Disease,23,0,06-05-2024,10-05-2024
Andhra Pradesh,Tirupati,Acute Diarrheal Disease,25,0,05-05-2024,10-05-2024
Assam,Dibrugarh,Hepatitis A,15,0,07-05-2024,07-05-2024
Assam,Golaghat,Food Poisoning,76,0,10-05-2024,10-05-2024
Assam,Hojai,Acute Diarrheal Disease,4,1,06-05-2024,07-05-2024
Bihar,Aurangabad,Fever of Unknown Origin,10,0,03-05-2024,06-05-2024
Bihar,Saran,Measles,9,0,04-05-2024,07-05-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,26,0,06-05-2024,06-05-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,67,0,10-05-2024,10-05-2024
Chhattisgarh,Mahasamund,Cholera,62,0,08-05-2024,09-05-2024
Chhattisgarh,Rajnandgaon,Measles,22,0,30-04-2024,10-05-2024
Chhattisgarh,Sakti,Food Poisoning,107,0,01-05-2024,06-05-2024
Chhattisgarh,Surajpur,Acute Diarrheal Disease,14,0,05-05-2024,08-05-2024
Gujarat,Junagadh,Food Poisoning,127,0,11-05-2024,12-05-2024
Gujarat,Surendranagar,Food Poisoning,38,0,12-05-2024,12-05-2024
Himachal Pradesh,Mandi,Acute Diarrheal Disease,45,0,08-05-2024,08-05-2024
Jammu and Kashmir,Baramulla,Mumps,13,0,10-05-2024,10-05-2024
Jammu and Kashmir,Ganderbal,Hepatitis A,25,0,08-05-2024,09-05-2024
Jammu and Kashmir,Kupwara,Human Rabies,1,1,01-05-2024,11-05-2024
Jharkhand,Dumka,Chickenpox,36,0,04-05-2024,06-05-2024
Jharkhand,East Singhbum,Chickenpox,7,0,08-05-2024,09-05-2024
Karnataka,Ramanagara,Food Poisoning,111,0,10-05-2024,11-05-2024
Karnataka,Ramanagara,Food Poisoning,135,0,06-05-2024,06-05-2024
Kerala,Kollam,Food Poisoning,15,0,09-05-2024,09-05-2024
Kerala,Thiruvananthapuram,Food Poisoning,130,0,08-05-2024,08-05-2024
Kerala,Thrissur,West Nile Fever,2,1,03-05-2024,08-05-2024
Madhya Pradesh,Dewas,Dengue,27,0,03-05-2024,07-05-2024
Maharashtra,Ahmednagar,Chikungunya,11,0,09-05-2024,09-05-2024
Manipur,Imphal West,Human Rabies,1,1,06-05-2024,08-05-2024
Punjab,Gurdaspur,Chickenpox,54,0,08-05-2024,09-05-2024
Punjab,Pathankot,Mumps,6,0,04-05-2024,06-05-2024
Tamil Nadu,Cuddalore,Food Poisoning,49,1,06-05-2024,07-05-2024
Tamil Nadu,Kanniyakumari,Acute Diarrheal Disease,21,0,06-05-2024,07-05-2024
Uttar Pradesh,Ghaziabad,Acute Diarrheal Disease,876,0,01-05-2024,06-05-2024
Uttar Pradesh,Jalaun,Fever with Rash,11,0,04-05-2024,09-05-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,17,0,08-05-2024,09-05-2024
West Bengal,Purba Bardhaman,Food Poisoning,14,0,06-05-2024,06-05-2024
West Bengal,Purulia,Acute Diarrheal Disease,17,0,07-05-2024,07-05-2024
Assam,Lakhimpur,Measles,4,0,12-04-2024,
Bihar,Pashchim Champaran,Measles,6,0,22-04-2024,
Maharashtra,Wardha,Dengue,9,0,27-04-2024,
Manipur,Imphal West,Human Rabies,1,1,29-04-2024,
Manipur,Thoubal,Leptospirosis,33,0,29-04-2024,
Uttar Pradesh,Pilibhit,Malaria,166,0,23-04-2024,
Andhra Pradesh,NTR,Acute Diarrheal Disease,30,0,30-12-2023,03-01-24,Under Control
Assam,Charaideo,Leptospirosis,1,1,02-01-24,02-01-24,Under Surveillance
Assam,Darrang,Chickenpox,6,0,30-12-2023,02-01-24,Under Surveillance
Bihar,Jehanabad,Chickenpox,8,0,06-01-24,06-01-24,Under Surveillance
Gujarat,Ahmedabad,Acute Diarrheal Disease,16,0,01-12-2023,01-01-24,Under Surveillance
Karnataka,Shivamogga,Kyasanur Forest Disease,81,1,06-01-24,06-01-24,Under Surveillance
Karnataka,Vijayanagar,Cholera,97,1,06-01-24,06-01-24,Under Surveillance
Kerala,Palakkad,Dog Bite,9,0,03-01-24,03-01-24,Under Surveillance
Kerala,Thrissur,Chickenpox,28,0,28-12-2023,04-01-24,Under Surveillance
Kerala,Thrissur,Monkey Pox,2,0,28-12-2023,04-01-24,Under Surveillance
Madhya Pradesh,Barwani,Chickenpox,9,0,23-12-2023,02-01-24,Under Control
Madhya Pradesh,Chhatarpur,Chickenpox,6,0,03-01-24,04-01-24,Under Surveillance
Madhya Pradesh,Chhindwara,Chickenpox,15,0,05-12-2023,05-01-24,Under Surveillance
Madhya Pradesh,Narsinghpur,Fever with Rash,8,0,04-01-24,04-01-24,Under Surveillance
Maharashtra,Gadchiroli,Malaria,191,1,04-01-24,04-01-24,Under Control
Maharashtra,Gadchiroli,Malaria,385,1,27-12-2023,01-01-24,Under Control
Maharashtra,Gondia,Malaria,28,0,29-12-2023,01-01-24,Under Control
Maharashtra,Kolhapur,Hepatitis-A,9,0,05-01-24,05-01-24,Under Surveillance
Maharashtra,Kolhapur,Food Poisoning,106,0,03-01-24,03-01-24,Under Control
Maharashtra,Nagpur,Scrub Typhus,9,1,02-01-24,04-01-24,Under Control
Maharashtra,Palghar,Dengue & Chikungunya,9,0,07-01-24,07-01-24,Under Surveillance
Odisha,Cuttack,Acute Diarrheal Disease,22,0,04-01-24,04-01-24,Under Control
Uttarakhand,Haridwar,Mumps,51,0,01-01-24,03-01-24,Under Control
Odisha,Sundargarh,Food Poisoning,25,0,01-01-24,01-01-24,Under Surveillance
Tamil Nadu,Tiruvannamalai,Cholera,2,0,03-01-24,04-01-24,Under Control
Tamil Nadu,Thiruvallur,Acute Diarrheal Disease,11,0,03-01-24,03-01-24,Under Control
Arunachal Pradesh,Papum Pare,Measles,5,0,13-05-2024,13-05-2024
Arunachal Pradesh,Tawang,Measles,4,0,18-05-2024,18-05-2024
Assam,Bajali,Fever,15,0,18-05-2024,18-05-2024
Assam,Biswanath,Chickenpox,10,0,15-05-2024,15-05-2024
Assam,Bongaigaon,Animal Bite - Dog Bite,1,1,17-05-2024,17-05-2024
Assam,Charaideo,Human Rabies,1,1,16-05-2024,16-05-2024
Assam,Charaideo,Mushroom Poisoning,14,0,14-05-2024,14-05-2024
Assam,Dhemaji,Acute Diarrheal Disease,15,0,12-05-2024,13-05-2024
Assam,Dhubri,Chickenpox,21,0,17-05-2024,17-05-2024
Assam,Dibrugarh,Hepatitis A,9,0,13-05-2024,14-05-2024
Assam,Jorhat,Dengue,1,1,18-05-2024,18-05-2024
Assam,Jorhat,Japanese Encephalitis,1,1,15-05-2024,15-05-2024
Assam,Kokrajhar,Acute Encephalitic Syndrome,1,1,15-05-2024,16-05-2024
Assam,Marigaon,Chickenpox,5,0,16-05-2024,17-05-2024
Assam,Sonitpur,Acute Diarrheal Disease,14,0,17-05-2024,18-05-2024
Assam,South Salmara Mancachar,Malaria,7,1,17-05-2024,17-05-2024
Bihar,Katihar,Chickenpox,13,0,11-05-2024,14-05-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,31,0,13-05-2024,14-05-2024
Chhattisgarh,Durg,Acute Diarrheal Disease,56,0,15-05-2024,15-05-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,80,0,15-05-2024,15-05-2024
Chhattisgarh,Rajnandgaon,Hepatitis E,11,0,11-05-2024,14-05-2024
Chhattisgarh,Rajnandgaon,Food Poisoning,14,0,16-05-2024,16-05-2024
Gujarat,Amreli,Typhoid,4,0,15-05-2024,16-05-2024
Gujarat,Gandhinagar,Hepatitis A,29,0,17-05-2024,17-05-2024
Gujarat,Gir Somnath,Food Poisoning,26,0,12-05-2024,13-05-2024
Gujarat,Kheda,Acute Diarrheal Disease,58,0,12-05-2024,13-05-2024
Gujarat,Morbi,Chikungunya,7,0,13-05-2024,18-05-2024
Haryana,Fatehabad,Chickenpox,37,0,18-05-2024,17-05-2024
Himachal Pradesh,Kangra,Hepatitis A,59,0,14-05-2024,15-05-2024
Jammu and Kashmir,Rajauri,Acute Diarrheal Disease,51,0,17-05-2024,18-05-2024
Jharkhand,Chatra,Acute Diarrheal Disease,16,0,17-05-2024,18-05-2024
Jharkhand,East Singhbum,Malaria,38,0,14-05-2024,14-05-2024
Jharkhand,Hazaribagh,Fever with Rash,6,0,14-05-2024,14-05-2024
Karnataka,Chitradurga,Food Poisoning,43,0,10-05-2024,14-05-2024
Karnataka,Mysuru,Cholera,225,0,13-05-2024,13-05-2024
Karnataka,Mysuru,Acute Gastroenteritis,33,0,12-05-2024,13-05-2024
Karnataka,Ramanagara,Acute Diarrheal Disease,36,0,11-05-2024,14-05-2024
Karnataka,Tumakuru,Acute Diarrheal Disease,29,0,11-05-2024,13-05-2024
Karnataka,Udupi,Acute Diarrheal Disease,20,0,17-05-2024,18-05-2024
Kerala,Idukki,Dengue,25,0,09-05-2024,18-05-2024
Kerala,Kozhikode,Hepatitis A,17,0,18-05-2024,18-05-2024
Kerala,Malappuram,Acute Encephalitic Syndrome,4,1,17-05-2024,18-05-2024
Kerala,Palakkad,Hepatitis A,40,0,15-05-2024,15-05-2024
Kerala,Thrissur,West Nile Fever,1,0,14-05-2024,16-05-2024
Madhya Pradesh,Alirajpur,Acute Diarrheal Disease,5,0,15-05-2024,15-05-2024
Madhya Pradesh,Sehore,Dengue,8,0,17-05-2024,17-05-2024
Madhya Pradesh,Umaria,Leptospirosis,5,0,11-05-2024,14-05-2024
Maharashtra,Kolhapur,Acute Diarrheal Disease,103,0,18-05-2024,18-05-2024
Maharashtra,Nanded,Dengue,7,0,16-05-2024,17-05-2024
Maharashtra,Nanded,Food Poisoning,30,0,16-05-2024,16-05-2024
Maharashtra,Raigad,Dengue,24,0,17-05-2024,18-05-2024
Maharashtra,Satara,Dengue,16,0,17-05-2024,17-05-2024
Maharashtra,Washim,Dengue,6,0,16-05-2024,16-05-2024
Meghalaya,East Khasi Hills,Mushroom Poisoning,5,1,16-05-2024,17-05-2024
Nagaland,Peren,Acute Diarrheal Disease,12,1,13-05-2024,13-05-2024
Odisha,Bargarh,Food Poisoning,34,0,13-05-2024,14-05-2024
Odisha,Ganjam,Acute Diarrheal Disease,20,0,15-05-2024,17-05-2024
Odisha,Jharsuguda,Food Poisoning,14,0,17-05-2024,18-05-2024
Odisha,Puri,Food Poisoning,23,0,15-05-2024,16-05-2024
Odisha,Sambalpur,Food Poisoning,19,0,16-05-2024,16-05-2024
Uttar Pradesh,Chandauli,Chickenpox,9,0,10-05-2024,14-05-2024
Uttar Pradesh,Gonda,Fever with Rash,8,0,12-05-2024,14-05-2024
West Bengal,Birbhum,Acute Diarrheal Disease,102,0,16-05-2024,17-05-2024
Assam,Kamrup,Acute Hepatitis B,6,0,08-05-2024,
Bihar,Jehanabad,Measles,3,0,24-04-2024,
Gujarat,Kheda,Acute Diarrheal Disease,151,0,19-04-2024,
Maharashtra,Mumbai Suburban,Food Poisoning,17,1,08-05-2024,
Uttar Pradesh,Jaunpur,Measles,6,0,10-04-2024,
Uttar Pradesh,Jaunpur,Rubella,4,0,02-04-2024,
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,14,0,21-05-2024,24-05-2024
Andhra Pradesh,SPSR Nellore,Acute Diarrheal Disease,20,0,22-05-2024,22-05-2024
Arunachal Pradesh,Papum Pare,Measles,5,0,22-05-2024,22-05-2024
Assam,Dibrugarh,Cholera,12,0,25-05-2024,25-05-2024
Assam,Kokrajhar,Chickenpox,6,0,20-05-2024,20-05-2024
Assam,Tinsukia,Food Poisoning,14,0,18-05-2024,20-05-2024
Assam,Tinsukia,Fever with rash,13,0,17-05-2024,20-05-2024
Bihar,Purbi Champaran,Fever with Rash,6,0,23-05-2024,24-05-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,42,0,21-05-2024,21-05-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,30,0,22-05-2024,22-05-2024
Gujarat,Anand,Acute Diarrheal Disease,75,0,19-05-2024,20-05-2024
Gujarat,Kachchh,Cholera,6,0,19-05-2024,24-05-2024
Gujarat,Kheda,Acute Diarrheal Disease,115,0,25-05-2024,26-05-2024
Gujarat,Rajkot,Food Poisoning,22,0,19-05-2024,20-05-2024
Haryana,Panchkula,Cholera,459,1,24-05-2024,24-05-2024
Jammu and Kashmir,Doda,Chickenpox,10,0,22-05-2024,22-05-2024
Jammu and Kashmir,Srinagar,Chickenpox,23,0,20-05-2024,20-05-2024
Jharkhand,Garhwa,Fever with Rash,11,0,25-05-2024,25-05-2024
Jharkhand,Hazaribagh,Mumps,5,0,18-05-2024,22-05-2024
Jharkhand,Khunti,Chickenpox,20,0,22-05-2024,22-05-2024
Karnataka,Bagalkot,Acute Diarrheal Disease,18,0,23-05-2024,24-05-2024
Karnataka,Belagavi,Cholera,310,0,21-05-2024,21-05-2024
Karnataka,Bengaluru Rural,Food Poisoning,98,0,20-05-2024,21-05-2024
Karnataka,Bidar,Food Poisoning,13,0,22-05-2024,22-05-2024
Karnataka,Haveri,Food Poisoning,104,0,22-05-2024,22-05-2024
Karnataka,Mandya,Acute Diarrheal Disease,20,0,21-05-2024,22-05-2024
Karnataka,Mysuru,Cholera,150,1,21-05-2024,21-05-2024
Kerala,Idukki,Dengue,23,0,21-05-2024,22-05-2024
Kerala,Kannur,Hepatitis A,12,0,23-05-2024,25-05-2024
Kerala,Kasaragod,Hepatitis A,19,0,18-05-2024,22-05-2024
Kerala,Wayanad,Hepatitis A,45,0,20-05-2024,21-05-2024
Madhya Pradesh,Betul,Acute Diarrheal Disease,21,1,21-05-2024,22-05-2024
Madhya Pradesh,Bhopal,Leptospirosis,17,1,22-05-2024,22-05-2024
Madhya Pradesh,Indore,Dengue,76,0,24-05-2024,24-05-2024
Madhya Pradesh,Morena,Measles,8,0,17-05-2024,21-05-2024
Madhya Pradesh,Tikamgarh,Acute Diarrheal Disease,40,0,21-05-2024,22-05-2024
Maharashtra,Akola,Cholera,65,0,26-04-2024,26-05-2024
Maharashtra,Jalgaon,Cholera,89,0,21-05-2024,24-05-2024
Maharashtra,Nagpur,Dengue,16,1,22-05-2024,22-05-2024
Maharashtra,Sindhudurg,Acute Diarrheal Disease,23,0,19-05-2024,20-05-2024
Maharashtra,Yavatmal,Food Poisoning,18,0,22-05-2024,23-05-2024
Manipur,Kamjong,Chickenpox,30,0,23-05-2024,24-05-2024
Mizoram,Champhai,Fever with Rash,1,1,17-05-2024,21-05-2024
Odisha,Baleshwar,Food Poisoning,14,0,23-05-2024,24-05-2024
Odisha,Cuttack,Food Poisoning,28,0,20-05-2024,20-05-2024
Odisha,Kandhamal,Food Poisoning,20,0,19-05-2024,21-05-2024
Punjab,Faridkot,Chickenpox,8,0,21-05-2024,23-05-2024
Rajasthan,Dausa,Food Poisoning,80,0,23-05-2024,23-05-2024
Uttar Pradesh,Gautam Buddha Nagar,Acute Diarrheal Disease,48,0,16-05-2024,21-05-2024
West Bengal,Howrah,Hepatitis A,14,0,22-05-2024,24-05-2024
West Bengal,Purba Bardhaman,Food Poisoning,86,0,25-05-2024,25-05-2024
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,24,1,15-05-2024,
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,25,0,15-05-2024,
Chhattisgarh,Sukma,Acute Diarrheal Disease,41,0,14-05-2024,
Kerala,Thrissur,Food Poisoning,32,0,13-05-2024,
Madhya Pradesh,Chhindwara,Measles,13,0,27-03-2024,
Madhya Pradesh,Indore,Fever of Unknown Origin,35,0,12-05-2024,
Maharashtra,Kolhapur,Chikungunya,18,0,03-05-2024,
Meghalaya,West Jaintia Hills,Mumps,21,0,25-04-2024,
Meghalaya,West Jaintia Hills,Human Rabies,1,1,07-05-2024,
Meghalaya,West Jaintia Hills,Human Rabies,1,1,07-05-2024,
Uttar Pradesh,Jhansi,Measles,9,0,13-05-2024,
Uttar Pradesh,Mathura,Food Poisoning,14,0,08-05-2024,
West Bengal,Medinipur West,Acute Diarrheal Disease,26,0,24-04-2024,
Andhra Pradesh,Kurnool,Acute Diarrheal Disease,18,0,20-05-2024,30-05-2024
Andhra Pradesh,NTR,Cholera,77,0,27-05-2024,30-05-2024
Assam,Bongaigaon,Acute Diarrheal Disease,6,0,27-05-2024,27-05-2024
Assam,Charaideo,Food Poisoning (Mushroom Poisoning),1,1,27-05-2024,29-05-2024
Assam,Darrang,Food Poisoning,136,1,28-05-2024,30-05-2024
Assam,Dhemaji,Chickenpox,5,0,28-05-2024,31-05-2024
Assam,Golaghat,Food Poisoning (Mushroom Poisoning),5,0,31-05-2024,01-06-2024
Assam,Kamrup,Acute Diarrheal Disease,38,0,29-05-2024,02-06-2024
Assam,Majuli,Fever with Rash,7,0,31-05-2024,02-06-2024
Assam,Nagaon,Food Poisoning (Mushroom Poisoning),8,0,01-06-2024,01-06-2024
Bihar,Begusarai,Fever with Rash,18,0,26-05-2024,28-05-2024
Bihar,Madhubani,Measles & Rubella,11,0,28-05-2024,28-05-2024
Chhattisgarh,Baloda Bazar,Measles,62,0,28-05-2024,29-05-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,36,0,28-05-2024,30-05-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,15,0,01-06-2024,01-06-2024
Gujarat,Anand,Cholera,61,0,01-06-2024,02-06-2024
Gujarat,Bhavnagar,Acute Diarrheal Disease,491,0,25-05-2024,27-05-2024
Gujarat,Gandhinagar,Cholera,112,0,01-06-2024,02-06-2024
Gujarat,Gandhinagar,Cholera,36,0,01-06-2024,01-06-2024
Jammu and Kashmir,Bandipora,Hepatitis A,30,0,27-05-2024,27-05-2024
Jharkhand,East Singhbum,Chickenpox,8,0,01-06-2024,01-06-2024
Jharkhand,Koderma,Food Poisoning,18,0,24-05-2024,27-05-2024
Jharkhand,Latehar,Acute Diarrheal Disease,11,0,27-04-2024,27-05-2024
Jharkhand,Sahebganj,Acute Diarrheal Disease,9,0,24-05-2024,28-05-2024
Karnataka,Belagavi,Food Poisoning,58,0,30-05-2024,30-05-2024
Karnataka,Chamarajanagar,Acute Gastroenteritis,34,0,29-05-2024,31-05-2024
Karnataka,Chamarajanagar,Cholera,45,0,24-05-2024,27-05-2024
Karnataka,Chamarajanagar,Food Poisoning,21,0,30-05-2024,31-05-2024
Karnataka,Chikballapur,Acute Diarrheal Disease,18,0,27-05-2024,27-05-2024
Karnataka,Chikballapur,Acute Diarrheal Disease,41,0,31-05-2024,31-05-2024
Karnataka,Hassan,Influenza,1,1,27-05-2024,28-05-2024
Karnataka,Mysuru,Cholera,133,0,28-05-2024,29-05-2024
Kerala,Idukki,Dengue,11,1,27-05-2024,01-06-2024
Kerala,Kozhikode,Hepatitis A,62,0,29-05-2024,29-05-2024
Kerala,Palakkad,Hepatitis A,27,0,29-05-2024,29-05-2024
Kerala,Thrissur,Food Poisoning,143,1,26-05-2024,28-05-2024
Kerala,Wayanad,Food Poisoning,33,0,30-05-2024,30-05-2024
Madhya Pradesh,Alirajpur,Acute Encephalitic Syndrome,1,1,31-05-2024,31-05-2024
Madhya Pradesh,Betul,Jaundice of < 4 weeks,10,0,27-05-2024,28-05-2024
Madhya Pradesh,Bhind,Measles,6,0,29-05-2024,29-05-2024
Madhya Pradesh,Chhatarpur,Scrub Typhus,1,1,31-05-2024,01-06-2024
Madhya Pradesh,Chhindwara,Leptospirosis,10,1,29-05-2024,31-05-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,31,0,28-05-2024,29-05-2024
Madhya Pradesh,Sehore,Dengue,14,0,28-05-2024,28-05-2024
Madhya Pradesh,Seoni,Leptospirosis,3,1,28-05-2024,30-05-2024
Madhya Pradesh,Shahdol,Chickenpox,5,0,26-05-2024,27-05-2024
Maharashtra,Gadchiroli,Dengue,48,0,25-01-2024,27-05-2024
Maharashtra,Nanded,Dengue,12,0,28-05-2024,29-05-2024
Maharashtra,Pune,Dengue,7,0,25-05-2024,29-05-2024
Maharashtra,Pune,Cholera,5,0,20-05-2024,28-05-2024
Meghalaya,West Khasi Hills,Human Rabies,1,1,08-05-2024,29-05-2024
Odisha,Gajapati,Measles,16,0,01-06-2024,01-06-2024
Odisha,Koraput,Anthrax,5,0,28-05-2024,29-05-2024
Odisha,Rayagada,Acute Diarrheal Disease,8,0,29-05-2024,29-05-2024
Odisha,Sambalpur,Acute Diarrheal Disease,15,0,28-05-2024,28-05-2024
Odisha,Sambalpur,Acute Diarrheal Disease,20,0,28-05-2024,28-05-2024
Tamil Nadu,Coimbatore,Acute Diarrheal Disease,20,0,29-05-2024,29-05-2024
Tamil Nadu,Coimbatore,Acute Diarrheal Disease,43,0,27-05-2024,28-05-2024
Tamil Nadu,Namakkal,Acute Gastroenteritis,10,0,31-05-2024,31-05-2024
Tamil Nadu,Salem,Acute Diarrheal Disease,92,0,27-05-2024,28-05-2024
Tamil Nadu,Thiruvallur,Acute Gastroenteritis,44,0,25-05-2024,27-05-2024
Tamil Nadu,Tiruchirappalli,Hepatitis A,8,0,28-05-2024,29-05-2024
Tamil Nadu,Tirupathur,Acute Diarrheal Disease,12,0,31-05-2024,01-06-2024
Tamil Nadu,Vellore,Acute Gastroenteritis,36,0,01-06-2024,02-06-2024
Tripura,Gomati,Measles,25,0,24-05-2024,28-05-2024
Uttar Pradesh,Siddharth Nagar,Measles,9,0,29-01-2024,30-05-2024
West Bengal,Hooghly,Acute Diarrheal Disease,28,0,28-05-2024,28-05-2024
West Bengal,Hooghly,Cholera,19,0,27-05-2024,27-05-2024
West Bengal,Howrah,Acute Diarrheal Disease,7,0,27-05-2024,31-05-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,48,0,28-05-2024,28-05-2024
Assam,Jorhat,Acute Encephalitic Syndrome,1,1,24-01-2024,
Jharkhand,West Singhbhum,Malaria,30,0,19-01-2024,
Andaman & Nicobar Islands,Nicobars,Acute Diarrheal Disease,76,0,08-06-2024,08-06-2024
Andhra Pradesh,SPSR Nellore,Food Poisoning,23,0,05-06-2024,06-06-2024
Assam,Biswanath,Mushroom Poisoning,13,0,05-06-2024,06-06-2024
Assam,Dibrugarh,Cholera,94,2,08-06-2024,09-06-2024
Bihar,Pashchim Champaran,Fever with Rash,21,0,30-05-2024,05-06-2024
Bihar,Purbi Champaran,Food Poisoning,12,0,02-06-2024,03-06-2024
Jammu and Kashmir,Kathua,Acute Diarrheal Disease,27,0,06-06-2024,08-06-2024
Jammu and Kashmir,Samba,Mumps,10,0,31-05-2024,03-06-2024
Jammu and Kashmir,Srinagar,Hepatitis A,16,0,04-06-2024,04-06-2024
Jharkhand,Hazaribagh,Food Poisoning,202,0,01-06-2024,03-06-2024
Jharkhand,Simdega,Rubella,15,0,04-06-2024,04-06-2024
Jharkhand,West Singhbhum,Measles,40,0,07-06-2024,08-06-2024
Karnataka,Chikballapur,Human Rabies,1,1,04-06-2024,04-06-2024
Karnataka,Chitradurga,Acute Diarrheal Disease,28,0,02-06-2024,03-06-2024
Karnataka,Gadag,Acute Diarrheal Disease,46,0,01-06-2024,06-06-2024
Karnataka,Mysuru,Cholera,62,0,04-06-2024,04-06-2024
Kerala,Ernakulam,Acute Diarrheal Disease,10,0,01-06-2024,07-06-2024
Kerala,Kannur,Hepatitis A,55,0,01-06-2024,07-06-2024
Kerala,Kollam,Food Poisoning,69,0,03-06-2024,03-06-2024
Kerala,Kottayam,Acute Diarrheal Disease,24,0,25-05-2024,05-06-2024
Kerala,Palakkad,Jaundice,24,0,03-06-2024,03-06-2024
Madhya Pradesh,Datia,Acute Diarrheal Disease,16,0,04-06-2024,04-06-2024
Madhya Pradesh,Khargone,Acute Diarrheal Disease,0,0,03-06-2024,03-06-2024
Madhya Pradesh,Satna,Chicken Pox,11,0,05-06-2024,07-06-2024
Madhya Pradesh,Sheopur,Measles,7,0,06-06-2024,07-06-2024
Madhya Pradesh,Singrauli,Acute Diarrheal Disease,11,2,07-06-2024,07-06-2024
Maharashtra,Gadchiroli,Malaria,8,1,06-06-2024,07-06-2024
Maharashtra,Kolhapur,Zika Virus,1,0,03-06-2024,03-06-2024
